"","group","gamma","Nsteps","stepsize","Nchians","KSD","NaNratio"
"1",1,0.2,10,0.2,10,2022.13950855708,1
"2",2,0.2,10,0.5,10,1982.7242690342,1
"3",3,0.2,10,1,10,1579.67037357003,1
"4",4,0.2,20,0.2,10,3314.91776631308,1
"5",5,0.2,20,0.5,10,1591.88847064425,1
"6",6,0.2,20,1,10,1218.74270958173,1
"7",7,0.5,10,0.2,10,2226.7482488633,1
"8",8,0.5,10,0.5,10,1250.47636865701,1
"9",9,0.5,10,1,10,2332.2286491048,1
"10",10,0.5,20,0.2,10,2318.16038137537,1
"11",11,0.5,20,0.5,10,1663.28205431709,1
"12",12,0.5,20,1,10,639.084528339326,1
"13",13,1,10,0.2,10,1455.89330598565,1
"14",14,1,10,0.5,10,1283.58108986506,1
"15",15,1,10,1,10,1759.85978577578,1
"16",16,1,20,0.2,10,878.90431645993,1
"17",17,1,20,0.5,10,1543.55365290061,1
"18",18,1,20,1,10,1345.32678753318,1
"19",1,0.2,10,0.0138572027420746,10,744.903092551875,0
"20",2,0.2,20,0.0134209910570887,10,805.476516045748,0
"21",3,0.5,10,0.0138572027420746,10,886.6507840747,0
"22",4,0.5,20,0.0134209910570887,10,2901.51716760724,0
"23",5,1,10,0.0138572027420746,10,2030.55674136357,0
"24",6,1,20,0.0134209910570887,10,1651.18142603483,0
