id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.2	10	20.836755255154873	30.690033429	0.2
2	0.2	10	0.2	10	18.825312132473993	21.504469954	0.35
3	0.2	10	0.2	10	14.413579989727273	21.943522456	0.2
1	0.2	10	0.5	10	24.2395613401024	21.626199601	1.0
2	0.2	10	0.5	10	12.691486506778777	25.511451614	1.0
3	0.2	10	0.5	10	15.248233900084381	22.604428558	1.0
1	0.2	10	1.0	10	32.355979388682826	20.386870529	1.0
2	0.2	10	1.0	10	31.026934131793723	22.834966433	1.0
3	0.2	10	1.0	10	22.554882126901393	21.610842093	1.0
1	0.2	20	0.2	10	18.113244984592217	40.729615517	0.5
2	0.2	20	0.2	10	10.938012340382006	41.897698204	0.6
3	0.2	20	0.2	10	23.264600833850636	41.488336293	0.5
1	0.2	20	0.5	10	24.2395613401024	40.440236018	1.0
2	0.2	20	0.5	10	23.651401092087045	40.405389899	1.0
3	0.2	20	0.5	10	23.43371477919571	39.972331274	1.0
1	0.2	20	1.0	10	24.23690650597392	38.807055821	1.0
2	0.2	20	1.0	10	23.650987190547966	38.835605884	1.0
3	0.2	20	1.0	10	29.720726308137678	39.476425512	1.0
1	0.5	10	0.2	10	34.03077386110069	19.513209794	0.05
2	0.5	10	0.2	10	39.647491459772326	19.56396814	0.2
3	0.5	10	0.2	10	26.4547813306756	20.393499467	0.1
1	0.5	10	0.5	10	24.2395613401024	19.895734114	1.0
2	0.5	10	0.5	10	31.307587662874116	20.983494369	1.0
3	0.5	10	0.5	10	29.23777223660177	20.149864714	1.0
1	0.5	10	1.0	10	24.2395613401024	19.495491034	1.0
2	0.5	10	1.0	10	23.649659982242277	19.193546529	1.0
3	0.5	10	1.0	10	44.99312698209571	20.404910264	1.0
1	0.5	20	0.2	10	15.354474081590029	40.758493511	0.15
2	0.5	20	0.2	10	18.97094224319719	40.956611012	0.45
3	0.5	20	0.2	10	30.957767267472903	40.621281973	0.25
1	0.5	20	0.5	10	24.2395613401024	39.646061381	1.0
2	0.5	20	0.5	10	23.653303401755377	39.137413862	1.0
3	0.5	20	0.5	10	23.43371477919571	39.19313256	1.0
1	0.5	20	1.0	10	24.2395613401024	40.960029267	1.0
2	0.5	20	1.0	10	23.365667482675843	40.564447958	1.0
3	0.5	20	1.0	10	16.5168449941188	40.202137389	1.0
1	1.0	10	0.2	10	36.30274716881922	20.283102575	0.05
2	1.0	10	0.2	10	43.750696871286706	19.586633814	0.05
3	1.0	10	0.2	10	27.458098414287686	20.520957163	0.05
1	1.0	10	0.5	10	24.23930096641665	20.098756253	1.0
2	1.0	10	0.5	10	30.288598608690496	20.635890621	1.0
3	1.0	10	0.5	10	31.726321537842594	20.704937202	1.0
1	1.0	10	1.0	10	24.23425332140041	20.718090219	1.0
2	1.0	10	1.0	10	23.643642588666793	19.652427531	1.0
3	1.0	10	1.0	10	19.65270694253107	19.671674832	1.0
1	1.0	20	0.2	10	19.00809846596154	39.952180346	0.05
2	1.0	20	0.2	10	37.449649258845525	40.425612005	0.05
3	1.0	20	0.2	10	28.191305889432208	40.055168977	0.05
1	1.0	20	0.5	10	24.2395613401024	41.564448438	1.0
2	1.0	20	0.5	10	19.64073900225317	41.38985902	1.0
3	1.0	20	0.5	10	37.412058738802685	40.869622686	1.0
1	1.0	20	1.0	10	24.22770557395799	40.037227	1.0
2	1.0	20	1.0	10	23.649136012972473	39.45801629	1.0
3	1.0	20	1.0	10	23.421803743528567	39.435492252	1.0
