"","group","GAMMA","#STEPS","STEPSIZE","#CHAINS","AVG. KSD","NAN RATIO"
"1",1,0.2,10,0.2,10,2255.38,1
"2",2,0.2,10,0.5,10,1770.49,1
"3",3,0.2,10,1,10,1993.2,1
"4",4,0.2,20,0.2,10,1867.83,1
"5",5,0.2,20,0.5,10,2026.58,1
"6",6,0.2,20,1,10,1975.12,1
"7",7,0.5,10,0.2,10,1571.2,1
"8",8,0.5,10,0.5,10,1988.23,1
"9",9,0.5,10,1,10,1909.76,1
"10",10,0.5,20,0.2,10,2035.95,1
"11",11,0.5,20,0.5,10,1972.56,1
"12",12,0.5,20,1,10,1627.12,1
"13",13,1,10,0.2,10,1929.01,1
"14",14,1,10,0.5,10,2070.81,1
"15",15,1,10,1,10,1894.77,1
"16",16,1,20,0.2,10,1803.46,1
"17",17,1,20,0.5,10,1977.21,1
"18",18,1,20,1,10,1835.75,1
"19",1,0.2,10,0.58,10,396.97,0
"20",2,0.2,20,0.57,10,427.71,0
"21",3,0.5,10,0.58,10,644.9,0
"22",4,0.5,20,0.57,10,679.03,0
"23",5,1,10,0.58,10,764.74,0
"24",6,1,20,0.57,10,735.34,0
