id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.20489914428871642	10	10.430634569194039	35.773550821	0.0
2	0.2	10	0.2266639407776335	10	6.0391093367671616	28.115164177	0.0
3	0.2	10	0.22244745595901988	10	11.640985218562555	28.86960688	0.0
1	0.2	20	0.20903090035670638	10	27.868855655301367	56.813970485	0.0
2	0.2	20	0.20240671583123687	10	4.9193998653219	55.313795009	0.0
3	0.2	20	0.22568045198386633	10	5.787692788306426	56.199279004	0.0
1	0.5	10	0.20489914428871642	10	123.0043661655181	27.617858471	0.0
2	0.5	10	0.2266639407776335	10	26.28668339704806	28.824208565	0.0
3	0.5	10	0.22244745595901988	10	16.429703231165647	28.530432279	0.0
1	0.5	20	0.20903090035670638	10	7.195716647348178	57.185492909	0.0
2	0.5	20	0.20240671583123687	10	6.351661551482519	57.556428463	0.0
3	0.5	20	0.22568045198386633	10	14.64391277841554	56.052922867	0.0
1	1.0	10	0.20489914428871642	10	10.882935923202641	28.751367601	0.0
2	1.0	10	0.2266639407776335	10	17.213287617406536	23.684387177	0.0
3	1.0	10	0.22244745595901988	10	13.259086676543422	24.582876887	0.0
1	1.0	20	0.20903090035670638	10	8.724812644143858	53.767968849	0.0
2	1.0	20	0.20240671583123687	10	16.85448941262771	60.646057435	0.0
3	1.0	20	0.22568045198386633	10	26.17412451508572	60.515919484	0.0
