"","group","GAMMA","#STEPS","STEPSIZE","#CHAINS","AVG. KSD","NAN RATIO"
"1",1,0.2,10,0.2,10,292.83,1
"2",2,0.2,10,0.5,10,163.46,1
"3",3,0.2,10,1,10,162.11,1
"4",4,0.2,20,0.2,10,190.06,1
"5",5,0.2,20,0.5,10,126.19,1
"6",6,0.2,20,1,10,172.6,1
"7",7,0.5,10,0.2,10,162.23,1
"8",8,0.5,10,0.5,10,162.24,1
"9",9,0.5,10,1,10,162.24,1
"10",10,0.5,20,0.2,10,162.24,1
"11",11,0.5,20,0.5,10,299.42,1
"12",12,0.5,20,1,10,160.89,1
"13",13,1,10,0.2,10,186.06,1
"14",14,1,10,0.5,10,162.23,1
"15",15,1,10,1,10,162.24,1
"16",16,1,20,0.2,10,161.24,1
"17",17,1,20,0.5,10,255.18,1
"18",18,1,20,1,10,183.97,1
"19",1,0.2,10,0.22,10,9.37,0
"20",2,0.2,20,0.21,10,12.86,0
"21",3,0.5,10,0.22,10,55.24,0
"22",4,0.5,20,0.21,10,9.4,0
"23",5,1,10,0.22,10,13.79,0
"24",6,1,20,0.21,10,17.25,0
