id	gamma	Nsteps	stepsize	Nchians	KSD	run_time
1	0.2	10	0.0973176920264914	15	0.0667683306817758	14.535516347
2	0.2	10	0.12026613237046115	15	0.05274930819801445	5.974799418
3	0.2	10	0.07692949972044975	15	0.05176893689129795	5.590919803
1	0.2	20	0.07259793421770794	15	0.041508706427498654	10.198166427
2	0.2	20	0.12846472643454823	15	1.840980071234987	10.532221241
3	0.2	20	0.058031621581629264	15	0.04434993559940949	10.209293827
1	0.5	10	0.0973176920264914	15	0.0513501636012709	5.82344725
2	0.5	10	0.12026613237046115	15	0.05750234427369841	4.805635199
3	0.5	10	0.07692949972044975	15	0.05314174272029001	4.840333718
1	0.5	20	0.07259793421770794	15	0.03956918148324791	10.325907411
2	0.5	20	0.12846472643454823	15	6.1013052672997	10.288589475
3	0.5	20	0.058031621581629264	15	0.05063494615880569	9.846612734
1	1.0	10	0.0973176920264914	15	0.059586280719799524	5.20457351
2	1.0	10	0.12026613237046115	15	0.21295545879561628	5.137513016
3	1.0	10	0.07692949972044975	15	0.05337997223218296	5.332002014
1	1.0	20	0.07259793421770794	15	0.044791808655426014	10.228544453
2	1.0	20	0.12846472643454823	15	2.3221890157550615	10.450240313
3	1.0	20	0.058031621581629264	15	0.050033761379636554	10.595491115
